5364840286213176|10|2021|421
5364842437634482|04|2021|164
5364844878612167|10|2024|188
5364842584251726|11|2023|166
5364840002366670|01|2021|263
5364841020177701|05|2024|610
5364843073664650|09|2022|025
5364841183664677|11|2022|751
5364843618648630|01|2024|225
5364841726641745|05|2024|050
5364847633644516|05|2023|538
5364844614416188|03|2021|544
5364848575337044|04|2021|213
5364843260716347|03|2024|332
5364841634588533|04|2024|604
5364848173772881|07|2024|316
5364847075804370|09|2024|757
5364841511065548|01|2021|551
5364843065156418|08|2021|303
5364848526320164|07|2022|076
5364841520681285|04|2021|512
5364844548226125|02|2022|063
5364847712007718|04|2023|564
5364842824811875|02|2021|447
5364841135362800|07|2023|147
5364842865018570|07|2023|737
5364841028070122|02|2021|415
5364843107543581|12|2022|124
5364845467211030|01|2022|834
5364840682776487|01|2023|571
5364842517613604|11|2024|627
5364847680121848|07|2022|527
5364846367426231|12|2023|644
5364846222808367|01|2024|836
5364841782188680|05|2024|017
5364841338226356|01|2021|511
5364847530250318|08|2024|178
5364840456438082|11|2024|454
5364848365468603|06|2021|677
5364847663403155|09|2023|784
5364844878546043|08|2024|534
5364846485461417|03|2021|502
5364840231675404|03|2024|538
5364848376316833|11|2022|886
5364840787080371|03|2021|337
5364840708861305|02|2023|516
5364842027730088|06|2021|230
5364841066705860|10|2022|513
5364841314045010|10|2021|581
5364843743440218|01|2024|533
5364843736043524|12|2024|406
5364846507608755|10|2021|281
5364846440886088|06|2024|816
5364843060811413|10|2021|675
5364842376774240|06|2021|518
5364842528044765|09|2023|182
5364841583356148|01|2021|162
5364846085453467|01|2022|764
5364841542677188|02|2024|877
5364841402714741|12|2022|146
5364842385025642|08|2024|823
5364844865436158|08|2022|561
5364842238758720|11|2023|610
5364840636602516|02|2023|665
5364840320123761|10|2024|338
5364848880483764|08|2024|530
5364846876076766|07|2023|011
5364841820661417|08|2023|815
5364848520257180|08|2023|133
5364845550563875|11|2021|083
5364840538615418|08|2022|110
5364842717421774|06|2021|044
5364845438601061|01|2023|621
5364845212651548|02|2021|161
5364846880446245|07|2023|523
5364840162847501|07|2021|401
5364845103707516|07|2024|411
5364847436567583|11|2022|510
5364844707366183|08|2022|728
5364843873518114|02|2023|671
